Headline,Category
Эксперт Проценко: европейские покровители Киева прикрывают его преступления,Экономика
"Абитуриенты подали через ""Госуслуги"" почти 1 млн заявлений в вузы",Общество
"""Общественное. Новости"": жена Ермолаева не пострадала при взрыве в Монако",ЧП
"""Новые люди"" подготовили законопроект о государственном алиментном фонде",Политика
Эксперт Тарасенко: около 75% российских компаний используют ИИ в обучении,Конфликты
В Северной Осетии для заправок установили неснижаемый запас топлива в 30%,Экономика
Суд отклонил указ Трампа о запрете предоставления гражданства США по рождению,Политика
ФАС предложила расширить перечень обязательных к реализации на бирже марок угля,Экономика
В Махачкале начали действовать новые стандарты ввода многоквартирных домов,Политика
Глава МИД Кубы заявил об отсутствии прогресса на переговорах с США,Политика
В Сумах произошли взрывы,ЧП
"""Монако"" выкупил у ""Барселоны"" права на футболиста Фати",Спорт
В Самаре арестовали руководителя поисково-спасательной службы региона Моцаря,Политика
"Эксперт Проценко: ""ниточки теракта"" в Монако могут привести к заказчикам в Киеве",Конфликты
Суд в США поддержал запрет на участие трансгендеров в женских соревнованиях,Политика
В Архангельской области объявили беспилотную опасность,ЧП
В Венгрии побит абсолютный температурный рекорд,Погода
Представляющая Ермолаева компания подтвердила ранение его сына в Монако,ЧП
TikTok оштрафовали за отказ удалить информацию об ЛГБТ,Политика
Жалобу МЧС Москвы на взыскание денег в пользу театра Бабкиной не удовлетворили,Культура
Минтруд: четверть обучающихся на технических направлениях составляют девушки,Политика
Минздрав: в России обсуждают проект по борьбе с ожирением,Политика
Touchline: Куман покинет пост главного тренера сборной Нидерландов,Спорт
Аппарат законодателя США Луны пока не готов назвать сроки ее поездки в РФ,Транспорт
NYT: администрация США пытается создать единую базу шпионов,Политика
Хуснуллин: стоимость акций ДОМ.РФ выросла более чем на 25%,Экономика
Творческая комиссия СТД РФ по уличным театрам определила направления работы,Культура
"""Т-Инвестиции"" запустили первую в России платформу для программ лояльности эмитентов",Политика
Специалисты Поморья будут тушить лесные пожары на Ямале,ЧП
ISU допустил россиян. Чего ждать российским фигуристам,Политика
В Киргизии сменился глава спецслужб,Политика
Оренбургского экс-министра сельского хозяйства Маслова осудили за взятку,Политика
ВС РФ уничтожили 10 солдат ВСУ на константиновском направлении,Конфликты
"Наименование ""гвардейский"" присвоили 39-му полку РХБЗ",Политика
ФПК прорабатывает концепцию турмаршрута с задействованием катамаранов,Политика
"В Калининграде заявили, что дефицит топлива вызван ажиотажем",Экономика
Теннисистка Корнеева проиграла дебютный матч в основной сетке Уимблдона,Спорт
Rheinmetall получил заказ от Украины на поставки снарядов калибра 155 мм,Политика
Al Hadath: в Ираке при обысках в домах обвиняемых в коррупции изъяли $116 млн,Политика
Президент Литвы назначил лидера Социал-демократической партии премьером,Политика
В Запорожье начались перебои с электричеством после взрывов,ЧП
Экс-адвоката Дмитрия Захватова заочно осудили на 21 год,Конфликты
"Фонды Музея Победы за шесть месяцев 2026 года пополнили более 1,6 тыс. реликвий",Культура
Прием заявок на фотоконкурс о городах Золотого кольца завершится 23 августа,ЧП
"Больная нога, рукописи под кроватью и 10 лет тайн. Как рождался роман ""Унесенные ветром""",Культура
В Вологодской области простились с экс-губернатором Вячеславом Позгалевым,ЧП
Куба запросила на 7 июля заседание ГА ООН из-за ситуации на фоне блокады США,Политика
"Рынок новостроек: осознанный выбор, инструменты проверки и доверие к онлайн-сервисам",Политика
Патрушев поручил решить вопросы по реконструкции очистных сооружений в Бурятии,Политика
Обвиняемому в мошенничестве адвокату Карабанову продлили арест,ЧП
Военная операция на Украине. Онлайн,Конфликты
В России удвоилось число причастных к терроризму и экстремизму подростков,Политика
В Запорожской области произошли взрывы,ЧП
В России впервые нашли следы динозавра из аптского яруса нижнего мелового периода,Наука
Перечень запрещенных профессий для женщин сократили в четыре раза,Конфликты
На Украине исключат дублирование на этикетках описаний товаров на русском языке,Политика
Мединский поддержал идею объединения экзаменов по истории и обществознанию,Политика
"Члена партии АдГ внесли в базу ""Миротоворца""",Политика
Росздравнадзор призвал медорганизации усилить контроль температурного режима,Погода
В Одессе начали аварийно отключать свет,ЧП
"""Милан"" объявил о переходе футболиста сборной Португалии Рамуша",Спорт
Совет ЕЭК продлил нулевые ставки ввозных таможенных пошлин на топливо,Экономика
Руслан Нагиев стал врио постоянного представителя Дагестана при президенте РФ,Политика
"""Страна"" допустила причастность Украины к покушению на Ермолаева",Политика
В Свердловской области из-за разлива рек повреждены 83 дома и 593 участка,ЧП
В Туапсинском округе сняли режим ЧС,ЧП
"ЦБ повысил курс доллара на 1 июля до 78,27 рубля",Экономика
Завершено расследование дела против одного из создателей площадки Hydra,Политика
В ЛНР возложили цветы к стихийному мемориалу в Старобельске в 40-й день трагедии,ЧП
Guardian: США потратят $4 млрд на модернизацию военных баз в Британии,Политика
Посольство РФ в Венесуэле находится в постоянном контакте с соотечественниками,Политика
"Фестиваль ""Фанфары Балтики"": концерты в городах Калининградской области",Культура
ВСУ дроном подожгли более 5 га посевов зерновых на Запорожье,Конфликты
"Выставка ""Калининградская область. История любви"" к 80-летию региона",Культура
РОЦИТ: РФ фактически импортозаместила зарубежные социальные платформы,Экономика
Newsmaker: сотрудники МИД Молдавии отравились на приеме в посольстве Израиля,Политика
Бренд косметики Cha U Kao оштрафовали по закону о пропаганде ЛГБТ,Политика
В свердловском Горноуральском округе ввели режим ЧС,ЧП
"В Соцфонд поступило около 2,7 млн обращений на получение новой семейной выплаты",Общество
Один погибший. Что известно о столкновении автобуса и грузовика в Кузбассе,ЧП
В Краснодаре на крышу многоэтажного дома упали обломки БПЛА,ЧП
ВС РФ ударили по используемым в интересах ВСУ энергообъектам в Запорожье,Конфликты
Соколовская не может радоваться допуску фигуристов из-за смерти Дмитриева,ЧП
Africanews: в Кении фламинго начали терять розовый цвет,Политика
В Белгородской области при атаке БПЛА ВСУ на грузовик пострадал водитель,Конфликты
Федорищев поручил правоохранителям контролировать возможные спекуляции с топливом,Экономика
В Госсовете призвали усилить работу по вводу хранилищ для плодово-ягодного урожая,Политика
Заманили обещанием передать самородок. Что известно об убийстве студента в Омске,Общество
Во Франции Google обязали выплатить €126 млн СМИ за нарушения в рекламе,ЧП
"Футболист Кокорин пока не думал, чем будет заниматься после завершения карьеры",Спорт
Греф: горизонт планирования в современном мире стремится к нулю,Культура
Договоры должны соблюдаться: Россия напомнила Западу свои позиции,Политика
Найден способ оперативно выявлять рецидивы клещевого боррелиоза,Политика
"""Ингосстрах"": около 40 % россиян задумываются об увольнении после отдыха",Общество
В Кривом Роге ребенок ночевал у директора детского сада из-за мобилизации отца,Конфликты
ДОМ.РФ реализует на торгах дачу Строгановых XVIII-XIX веков в Москве,Политика
На Солнце произошла третья сильная вспышка,Наука
AD: в Нидерландах перебои движения поездов затронули десятки тысяч пассажиров,Транспорт
Нидерланды продлили участие в миссии НАТО в Литве до конца 2028 года,Политика
Глава парламента Ливана намерен объединить противников соглашения с Израилем,Политика
"Завод ""Лукойла"" в Болгарии сможет закупать нефть у швейцарских контрагентов",Экономика
В Сумах произошел взрыв,ЧП
В ЛНР мужчина пострадал при попытке взять в руки взрывоопасный предмет,ЧП
Астероид Рюгу состоит из двух половин с разной историей формирования,Конфликты
На Ставрополье объявили беспилотную опасность,ЧП
В Белгородской области будут судить обвиняемого в серии убийств,ЧП
Концепцию развития внутреннего водного транспорта разработают до конца года,Экономика
"""Офицеры России"": ведомство по делам ветеранов обезопасит военных от мошенников",Политика
Временный поверенный в делах РФ назвал число работающих в России граждан Индии,Политика
"В Литве будут выплачивать компенсации за ущерб, причиненный сбитыми БПЛА",ЧП
Бабушкина поддержала переизбрание руководителя уральской промышленной палаты,Политика
Создана первая в мире ИИ-модель для проектирования сверхчувствительной оптики,Культура
"Найдено тело второго туриста, пропавшего во время сплава под Красноярском",ЧП
Представители России и Белоруссии почтили память павших при освобождении Витебской области,Политика
В 22 регионах РФ более 20 тыс. обучающихся изучали 25 родных языков в прошлом учебном году,Конфликты
Токаев и Путин обсудили подготовку к Форуму межрегионального сотрудничества,Политика
"Участники марафона ""Города-герои"" почтили память защитников Брестской крепости",Политика
Кононов: на собеседовании по истории в 9-м классе предложат базовые вопросы,Политика
Оправданный по делу о покушении на убийство житель Башкирии отсудил компенсацию,Общество
Тело Али Хаменеи доставят в Ирак для проведения отдельных церемоний прощания,Политика
Бывшего и.о. министра культуры Украины отправили под домашний арест,Политика
"Жителя Сибири осудили на 7,5 года за мошенничество",Общество
"Группа ""Арнест"" выплатила сотрудникам более 61 млн рублей по демографической программе",Экономика
В Липецкой области арестовали пытавшегося заживо сжечь врача сельской поликлиники,Общество
Астронавты NASA вышли в открытый космос для ремонта манипулятора Canadarm2,Наука
"В АО ""БСК"" решили не выплачивать дивиденды",Политика
МИД Ирана: контакты с США осуществляются по политическим каналам,Политика
"Михалков объяснил, что значит квотирование зарубежного кино",Культура
